timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:24:37,73.06,0.00,4.74,1.61,0.00,20.59,47.50,260.28,18489.42,394.69,0.85,17.83,0.84,3.99,48.20,33.20,15.00,265.60,18526.40,6,702,2.65,3.00,3.13,0,4821560,11479868,70.42,72944,8736944,5310468,32.58,3150080,7939032,2592,lo,14.60,14.60,3.23,3.23,0.00,0.00,0.00,0.00,162.40,9262.40,23502.60,0.00,28386.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,2671.00
14:24:42,88.35,0.00,3.92,3.92,0.00,3.82,262.20,5707.20,1174.40,26.25,0.23,0.87,0.76,20.00,261.20,221.60,39.60,5707.20,1153.60,2,717,2.75,3.01,3.14,0,4524048,11777380,72.25,73244,8752448,5574152,34.19,3436888,7949240,2740,lo,22.00,22.00,2.64,2.64,0.00,0.00,0.00,0.00,2853.60,495.20,16163.00,0.00,578.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.80,3570.60
14:24:47,75.25,0.00,2.31,11.87,0.00,10.56,321.60,1385.60,4788.80,19.20,0.32,1.00,0.89,28.72,322.60,46.40,276.20,1385.60,4809.60,2,724,2.69,3.00,3.13,0,4475204,11826224,72.55,75300,8758588,5744252,35.24,3483672,7950416,3472,lo,4.20,4.20,0.62,0.62,0.00,0.00,0.00,0.00,692.80,2487.20,2559.00,0.00,435.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.80,3830.80
14:24:52,74.75,0.00,2.21,4.02,0.00,19.01,181.20,3342.40,408.00,20.70,0.14,0.75,0.61,11.04,181.20,160.40,20.80,3342.40,408.00,3,724,2.56,2.96,3.12,0,4391240,11910188,73.06,75456,8767020,5826660,35.74,3565412,7951868,3160,lo,26.60,26.60,5.33,5.33,0.00,0.00,0.00,0.00,1668.80,204.00,4463.40,0.00,456.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.20,2980.80
14:24:57,89.35,0.00,5.88,0.00,0.00,4.77,16.80,1.60,30920.00,1840.57,1.50,89.05,1.67,2.80,16.80,0.20,16.60,1.60,30920.00,3,736,2.59,2.96,3.12,0,3987248,12314180,75.54,75460,8920336,6049764,37.11,3891388,8027292,79376,lo,681.00,681.00,22818.75,22818.75,0.00,0.00,0.00,0.00,3.20,15460.00,13141.00,0.00,3036.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.60,5191.80
14:25:02,94.02,0.00,3.24,0.00,0.00,2.74,17.00,4.80,264.00,15.81,0.03,2.02,0.09,0.16,17.00,0.40,16.60,4.80,264.00,2,733,2.55,2.95,3.11,0,3884332,12417096,76.17,75472,8920352,6070432,37.24,3994768,8027252,78848,lo,904.40,904.40,28064.07,28064.07,0.00,0.00,0.00,0.00,2.40,132.00,6426.80,0.00,996.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.20,2605.80
14:25:07,94.95,0.00,3.03,0.00,0.00,2.02,6.20,56.00,673.60,117.68,0.02,2.58,1.03,0.64,6.20,3.60,2.60,56.00,673.60,3,741,2.58,2.95,3.11,0,3828184,12473244,76.52,75492,8942664,6111896,37.49,4030124,8047508,99700,lo,542.80,542.80,16681.60,16681.60,0.00,0.00,0.00,0.00,28.00,336.80,2217.60,0.00,1512.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.80,2349.00
14:25:12,93.73,0.00,3.64,0.00,0.00,2.63,3.40,0.00,516.80,152.00,0.00,1.41,1.41,0.48,3.40,0.00,3.40,0.00,516.80,3,737,2.54,2.93,3.11,0,3811924,12489504,76.62,75524,8947832,6077420,37.28,4039380,8054384,104900,lo,902.60,902.60,27423.34,27423.34,0.00,0.00,0.00,0.00,0.00,258.40,1430.60,0.00,2227.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.40,2625.00
14:25:17,94.05,0.00,3.94,0.00,0.00,2.02,2.60,0.00,238.40,91.69,0.00,0.62,0.62,0.16,2.60,0.00,2.60,0.00,238.40,4,742,2.49,2.92,3.10,0,3793320,12508108,76.73,75532,8975172,6063912,37.20,4028936,8081572,131896,lo,773.80,773.80,23122.61,23122.61,0.00,0.00,0.00,0.00,0.00,119.20,1223.60,0.00,4350.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.80,2376.20
14:25:22,94.06,0.00,3.02,0.00,0.00,2.92,2.80,0.00,158.40,56.57,0.00,0.29,0.29,0.08,2.80,0.00,2.80,0.00,158.40,2,739,2.45,2.90,3.09,0,3783544,12517884,76.79,75540,8978628,6118220,37.53,4036860,8084252,135324,lo,952.60,952.60,29658.37,29658.37,0.00,0.00,0.00,0.00,0.00,79.20,905.80,0.00,390.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,2439.60
