timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:53:35,27.70,0.00,0.85,2.25,0.00,69.20,283.40,12.80,5420.80,19.17,0.27,0.96,0.88,24.96,283.60,1.60,282.00,12.80,5576.00,1,836,4.39,4.71,3.84,0,14290432,18525244,56.45,174064,14333384,7009960,21.36,4733672,13148188,3116,lo,6.20,6.20,0.99,0.99,0.00,0.00,0.00,0.00,6.40,2710.40,10955.20,0.00,3403.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.40,5646.20
11:53:40,22.44,0.00,1.26,0.40,0.00,75.90,50.40,16.00,792.00,16.03,0.04,0.87,0.79,4.00,50.40,2.00,48.40,16.00,792.00,4,870,4.19,4.66,3.83,0,14032484,18783192,57.24,174220,14368448,7782876,23.72,4955928,13180872,37492,lo,334.60,334.60,6969.94,6969.94,0.00,0.00,0.00,0.00,8.00,396.00,12659.60,0.00,1982.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,6129.80
11:53:45,28.89,0.00,2.24,0.00,0.00,68.87,2.40,0.00,139.20,58.00,0.00,1.67,1.67,0.40,2.40,0.00,2.40,0.00,139.20,8,983,4.18,4.65,3.83,0,13593972,19221704,58.57,174224,14368964,8551480,26.06,5392124,13180900,38096,lo,48.00,48.00,56.42,56.42,0.00,0.00,0.00,0.00,0.00,69.60,24158.80,0.00,1706.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.80,5430.40
11:53:50,74.20,0.00,1.66,0.00,0.00,24.14,3.40,19.20,128.00,43.29,0.00,1.18,1.18,0.40,3.40,2.40,1.00,19.20,128.00,15,1000,4.00,4.61,3.82,0,13135672,19680004,59.97,174272,14369496,8757080,26.69,5847912,13179916,38644,lo,287.20,287.20,7485.26,7485.26,0.00,0.00,0.00,0.00,9.60,64.00,25024.00,0.00,1747.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.20,16792.80
11:53:55,63.08,0.00,1.66,0.05,0.00,35.21,6.20,24.00,220.80,39.48,0.01,1.03,1.03,0.64,6.20,3.00,3.20,24.00,220.80,2,985,4.96,4.80,3.89,0,13565232,19250444,58.66,174336,14377796,8602020,26.21,5421084,13179476,46548,lo,115.60,115.60,2082.42,2082.42,0.00,0.00,0.00,0.00,12.00,110.40,11773.60,0.00,33113.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,14812.20
11:54:00,77.16,0.00,1.76,0.00,0.00,21.08,5.80,24.00,148.80,29.79,0.00,0.41,0.41,0.24,5.80,3.00,2.80,24.00,148.80,8,1005,4.97,4.80,3.89,0,13125688,19689988,60.00,174400,14378332,8750276,26.66,5857552,13179900,47116,lo,302.00,302.00,8000.30,8000.30,0.00,0.00,0.00,0.00,12.00,74.40,24129.20,0.00,1753.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.80,18725.00
11:54:05,65.78,0.00,2.06,0.05,0.00,32.11,24.80,22.40,816.00,33.81,0.16,6.45,0.39,0.96,24.80,2.80,22.00,22.40,816.00,5,1002,5.85,4.99,3.96,0,13448452,19367224,59.02,174460,14387036,8630024,26.30,5537092,13179844,54176,lo,106.60,106.60,1666.80,1666.80,0.00,0.00,0.00,0.00,11.20,408.00,17470.60,0.00,33284.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,12038.40
11:54:10,81.27,0.00,1.53,0.00,0.00,17.20,5.80,24.00,299.20,55.72,0.00,0.69,0.69,0.40,5.80,3.00,2.80,24.00,299.20,16,1008,6.42,5.12,4.01,0,13120216,19695460,60.02,174532,14387116,8760904,26.70,5863116,13179784,54016,lo,319.40,319.40,8861.60,8861.60,0.00,0.00,0.00,0.00,12.00,149.60,19294.60,0.00,2327.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,19665.20
11:54:15,58.69,0.00,1.96,0.05,0.00,39.30,24.00,22.40,15403.20,642.73,1.17,48.90,0.97,2.32,24.00,2.80,21.20,22.40,15403.20,9,1015,6.63,5.18,4.03,0,13279928,19535748,59.53,174600,14395880,8708376,26.54,5701172,13182948,24604,lo,169.60,169.60,3031.52,3031.52,0.00,0.00,0.00,0.00,11.20,7701.60,24620.40,0.00,32454.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,8404.40
11:54:20,51.55,0.00,1.28,0.00,0.00,47.17,4.60,22.40,432.00,98.78,0.01,1.39,1.39,0.64,4.60,2.80,1.80,22.40,432.00,1,1003,6.18,5.11,4.02,0,13469956,19345720,58.95,174664,14400000,8656648,26.38,5510876,13183208,27944,lo,142.00,142.00,3124.94,3124.94,0.00,0.00,0.00,0.00,11.20,216.00,7433.20,0.00,16825.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.60,4719.60
