timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:39:53,11.41,0.00,2.15,0.03,0.00,86.41,7.40,14.40,947.20,129.95,0.01,1.30,0.97,0.72,7.40,1.80,5.60,14.40,947.20,6,815,1.21,0.84,0.36,0,29048700,3766976,11.48,44456,719468,7248076,22.09,3308372,270664,54836,lo,35.80,35.80,15.73,15.73,0.00,0.00,0.00,0.00,7.20,473.60,19932.60,0.00,44927.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.20,4084.20
19:39:58,14.61,0.00,3.16,0.13,0.00,82.10,10.20,4.80,4049.60,397.49,0.15,14.51,1.57,1.60,10.20,0.60,9.60,4.80,4049.60,4,777,1.19,0.84,0.36,0,29148232,3667444,11.18,44576,858720,6352360,19.36,3028200,408040,201028,lo,22.80,22.80,12.67,12.67,0.00,0.00,0.00,0.00,2.40,2024.80,31504.80,0.00,47452.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,4161.80
19:40:03,14.46,0.00,1.23,0.60,0.00,83.72,60.40,9.60,12150.40,201.32,0.63,10.38,0.77,4.64,60.60,1.20,59.40,9.60,12152.00,5,791,1.26,0.86,0.37,3,28963964,3851712,11.74,44680,960376,6304344,19.21,3109916,506672,294012,lo,891.20,891.20,20819.64,20819.64,0.00,0.00,0.00,0.00,4.80,6075.20,5690.20,0.00,4103.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.80,5666.20
19:40:08,24.25,0.00,1.64,0.05,0.00,74.06,4.40,9.60,228.80,54.18,0.00,0.55,0.55,0.24,4.20,1.20,3.00,9.60,227.20,1,876,1.32,0.88,0.38,3,28506392,4309284,13.13,44716,962948,7205228,21.96,3565524,505896,296600,lo,44.40,44.40,50.84,50.84,0.00,0.00,0.00,0.00,4.80,114.40,25013.20,0.00,1997.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,4500.40
19:40:13,45.05,0.00,2.68,0.05,0.00,52.22,4.40,16.00,142.40,36.00,0.00,0.55,0.55,0.24,4.40,2.00,2.40,16.00,142.40,8,940,1.29,0.88,0.38,2,28091324,4724352,14.40,44784,963528,8978344,27.36,3977024,506256,297288,lo,117.20,117.20,433.42,433.42,0.00,0.00,0.00,0.00,8.00,71.20,54086.00,0.00,32734.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.20,8811.00
19:40:18,33.83,0.00,2.59,0.08,0.00,63.50,5.20,86.40,240.00,62.77,0.02,3.08,3.08,1.60,5.20,1.80,3.40,86.40,240.00,7,930,1.35,0.90,0.39,4,28347248,4468428,13.62,44824,963644,8919188,27.18,3722308,506184,297136,lo,171.00,171.00,852.03,852.03,0.00,0.00,0.00,0.00,43.20,120.00,45799.00,0.20,57915.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,7514.40
19:40:23,37.70,0.00,2.51,0.03,0.00,59.76,3.60,12.80,164.80,49.33,0.00,0.89,0.89,0.32,3.60,1.60,2.00,12.80,164.80,3,886,1.56,0.95,0.41,3,28501580,4314096,13.15,44868,963708,7232868,22.04,3565800,506032,297208,lo,170.20,170.20,850.72,850.72,0.00,0.00,0.00,0.00,6.40,82.40,50168.00,0.00,57775.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.20,7277.20
19:40:28,32.96,0.00,2.51,0.45,0.00,64.07,376.00,8.00,65321.60,173.75,9.67,25.67,0.25,9.36,376.00,1.00,375.00,8.00,65321.60,6,959,1.60,0.97,0.42,0,28051704,4763972,14.52,44892,964168,9031752,27.52,4012208,506456,132080,lo,87.40,87.40,232.13,232.13,0.00,0.00,0.00,0.00,4.00,33004.80,38758.60,0.00,19483.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,6829.00
19:40:33,21.04,0.00,1.71,1.61,0.00,75.65,90.40,52.80,14531.20,161.33,5.33,59.18,0.88,8.00,90.40,6.60,83.80,52.80,14531.20,7,952,1.55,0.97,0.42,0,28062372,4753304,14.48,45072,964308,9027804,27.51,4003816,506436,113372,lo,104.00,104.00,430.61,430.61,0.00,0.00,0.00,0.00,26.40,6921.60,29253.00,0.00,30028.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.40,5873.60
19:40:38,24.68,0.00,1.98,0.40,0.00,72.94,66.00,54.40,45827.20,695.18,3.50,53.07,0.67,4.40,66.20,6.80,59.40,54.40,45835.20,3,880,1.59,0.99,0.43,7,28489068,4326608,13.18,45264,964208,7243664,22.07,3579488,506184,948,lo,173.60,173.60,669.40,669.40,0.00,0.00,0.00,0.00,27.20,22908.80,34067.80,0.00,55108.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,6113.20
19:40:43,4.81,0.00,0.58,0.10,0.00,94.51,18.20,14.40,321.60,18.46,0.01,0.62,0.57,1.04,18.20,1.80,16.40,14.40,368.00,3,824,1.46,0.97,0.43,1,28380164,4435512,13.52,45308,1016460,7277340,22.18,3640340,555500,53328,lo,573.20,573.20,10547.10,10547.10,0.00,0.00,0.00,0.00,7.20,164.80,4015.40,0.00,3639.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.40,3407.60
19:40:48,6.77,0.00,1.08,0.05,0.00,92.11,7.60,22.40,91.20,14.95,0.00,0.32,0.32,0.24,7.80,2.80,5.00,22.40,180.80,6,818,1.34,0.96,0.43,2,28765164,4050512,12.34,45420,963896,7023716,21.40,3306420,506276,105276,lo,338.40,338.40,10462.40,10462.40,0.00,0.00,0.00,0.00,11.20,46.40,8801.20,0.00,30498.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,3646.40
19:40:53,25.21,0.00,1.00,0.00,0.00,73.78,4.00,6.40,160.00,41.60,0.00,0.80,0.80,0.32,4.00,0.80,3.20,6.40,115.20,2,905,1.31,0.96,0.43,4,28333780,4481896,13.66,45448,964144,8185144,24.94,3736124,506420,105620,lo,44.80,44.80,30.44,30.44,0.00,0.00,0.00,0.00,3.20,80.00,22906.60,0.00,1049.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,4181.20
19:40:58,16.78,0.00,1.10,0.05,0.00,82.07,4.60,12.80,177.60,41.39,0.01,1.22,1.22,0.56,4.20,1.60,2.60,12.80,78.40,3,914,1.29,0.96,0.43,3,28221628,4594048,14.00,45512,964476,8170740,24.90,3847324,506680,105844,lo,60.60,60.60,55.86,55.86,0.00,0.00,0.00,0.00,6.40,88.80,20870.20,0.00,15008.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,4861.60
19:41:03,6.02,0.00,1.85,0.10,0.00,92.03,16.20,17.60,163.20,11.16,0.01,0.84,0.79,1.28,16.20,2.20,14.00,17.60,163.20,6,817,1.18,0.94,0.43,2,29034616,3781060,11.52,45560,720880,7301424,22.25,3318068,271404,53860,lo,84.20,84.20,95.25,95.25,0.00,0.00,0.00,0.00,8.80,81.60,8429.60,0.00,47980.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.40,3505.80
