timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:43:45,12.27,0.00,1.56,0.05,0.00,86.13,16.00,172.80,116.80,18.10,0.02,1.45,0.75,1.20,16.60,5.00,11.60,172.80,200.00,0,867,2.12,2.78,3.69,0,1630904,31184772,95.03,229864,26274788,7940884,24.20,5893372,24293272,15732,lo,52.00,52.00,116.20,116.20,0.00,0.00,0.00,0.00,86.40,130.40,23843.00,2.00,68969.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.60,4385.80
12:43:50,23.00,0.00,1.95,0.05,0.00,75.00,13.20,0.00,246.40,18.67,0.01,0.85,0.79,1.04,13.20,0.00,13.20,0.00,246.40,1,865,1.95,2.73,3.67,1,2244212,30571464,93.16,229988,25828324,7774484,23.69,5731728,23847444,10384,lo,161.40,161.40,1680.64,1680.64,0.00,0.00,0.00,0.00,0.00,87.20,28571.40,0.00,59868.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.60,5737.00
12:43:55,28.41,0.00,1.41,0.10,0.00,70.09,20.40,0.00,459.20,22.51,0.25,12.04,0.31,0.64,20.20,0.00,20.20,0.00,457.60,2,981,1.79,2.69,3.65,0,1818524,30997152,94.46,230004,25828684,8522828,25.97,6154484,23847684,10108,lo,45.20,45.20,30.76,30.76,0.00,0.00,0.00,0.00,0.00,248.80,24052.60,0.00,2224.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,5514.00
12:44:00,38.92,0.00,1.10,0.03,0.00,59.95,0.80,0.00,144.00,180.00,0.00,2.00,1.00,0.08,1.00,0.00,1.00,0.00,145.60,3,992,1.81,2.68,3.64,0,1512704,31302972,95.39,230008,25830348,8571932,26.12,6457344,23847924,12048,lo,448.40,448.40,13044.74,13044.74,0.00,0.00,0.00,0.00,0.00,18.40,15580.40,0.00,435.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.20,4273.80
12:44:05,43.65,0.00,2.24,0.08,0.00,54.04,44.00,0.00,28190.40,640.69,1.43,32.49,0.49,2.16,41.80,0.00,41.80,0.00,28150.40,5,1003,1.83,2.66,3.63,4,1450736,31364940,95.58,230012,25888848,8584216,26.16,6517984,23847968,180,lo,464.80,464.80,13051.63,13051.63,0.00,0.00,0.00,0.00,0.00,14076.00,27850.00,0.00,27187.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,7443.80
12:44:10,34.59,0.00,1.65,0.10,0.00,63.65,0.80,0.00,180.80,226.00,0.01,8.00,9.00,0.72,3.20,0.00,3.20,0.00,222.40,3,991,1.76,2.64,3.62,8,1543056,31272620,95.30,230020,25948476,8548236,26.05,6428100,23847852,60704,lo,86.20,86.20,1377.16,1377.16,0.00,0.00,0.00,0.00,0.00,152.80,19451.00,0.00,26464.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.80,5825.40
12:44:15,33.39,0.00,1.21,0.18,0.00,65.23,0.60,0.00,89.60,149.33,0.01,12.00,12.00,0.72,0.60,0.00,0.60,0.00,89.60,2,1014,1.78,2.63,3.61,0,1349072,31466604,95.89,230028,25987264,8861048,27.00,6618952,23847912,99560,lo,402.60,402.60,11671.44,11671.44,0.00,0.00,0.00,0.00,0.00,40.00,8698.40,0.00,805.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.80,4703.60
12:44:20,41.65,0.00,1.89,0.03,0.00,56.43,1.00,0.00,105.60,105.60,0.00,3.20,3.20,0.32,1.00,0.00,1.00,0.00,105.60,3,1000,1.80,2.62,3.60,0,1334884,31480792,95.93,230036,26008408,8602104,26.21,6633644,23848004,120724,lo,427.40,427.40,12175.54,12175.54,0.00,0.00,0.00,0.00,0.00,52.80,25776.40,0.00,25885.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.20,6120.00
12:44:25,34.40,0.00,1.93,0.03,0.00,63.65,7.20,0.00,9070.40,1259.78,0.15,20.67,1.33,0.96,7.20,0.00,7.20,0.00,9070.40,3,1008,2.05,2.66,3.61,0,1386232,31429444,95.78,230040,26066716,8546404,26.04,6554776,23876328,158152,lo,243.40,243.40,7368.99,7368.99,0.00,0.00,0.00,0.00,0.00,4496.80,21332.20,0.00,26392.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,6012.00
12:44:30,32.82,0.00,1.48,0.03,0.00,65.67,7.40,0.00,9750.40,1317.62,0.15,19.89,1.73,1.28,7.40,0.00,7.40,0.00,9750.40,6,1004,2.13,2.66,3.61,0,1381704,31433972,95.79,230048,26155332,8498416,25.90,6503468,23932728,228080,lo,408.80,408.80,12758.35,12758.35,0.00,0.00,0.00,0.00,0.00,4875.20,9283.40,0.00,14311.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.20,6859.00
