timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:01:15,25.28,0.00,1.78,0.05,0.00,72.90,4.40,0.00,547.20,124.36,0.00,1.09,0.73,0.32,4.40,0.00,4.40,0.00,547.20,0,765,5.11,6.12,5.25,0,25912600,6903076,21.04,139216,3615756,6516188,19.86,3427512,3113052,520,lo,229.80,229.80,5427.52,5427.52,0.00,0.00,0.00,0.00,0.00,273.60,27184.80,0.00,272029.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.40,8990.00
13:01:20,34.03,0.00,3.13,0.00,0.00,62.83,16.80,0.00,30788.80,1832.67,1.49,88.76,1.67,2.80,16.80,0.00,16.80,0.00,30788.80,3,868,4.94,6.07,5.24,0,24971464,7844212,23.90,139220,3769104,7993988,24.36,4287420,3189700,77248,lo,443.20,443.20,15361.87,15361.87,0.00,0.00,0.00,0.00,0.00,15394.40,53309.20,0.00,15941.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.80,5619.00
13:01:25,83.45,0.00,3.58,0.00,0.00,12.98,0.40,0.00,68.80,172.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,68.80,8,869,4.95,6.05,5.24,0,23643468,9172208,27.95,139228,3769168,9286216,28.30,5611392,3189616,77312,lo,3044.40,3044.40,92762.27,92762.27,0.00,0.00,0.00,0.00,0.00,34.40,68216.60,0.00,2121.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.40,4548.60
13:01:30,97.34,0.00,1.55,0.00,0.00,1.10,2.40,0.00,116.80,48.67,0.00,0.33,0.33,0.08,2.20,0.00,2.20,0.00,115.20,9,873,5.19,6.08,5.25,0,23572308,9243368,28.17,139228,3772928,9286080,28.30,5679128,3192752,80988,lo,3670.60,3670.60,114016.44,114016.44,0.00,0.00,0.00,0.00,0.00,57.60,4173.60,0.00,889.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,4416.00
13:01:35,97.20,0.00,2.00,0.00,0.00,0.80,13.20,0.00,220.80,16.73,0.03,2.30,0.12,0.16,13.40,0.00,13.40,0.00,222.40,6,873,5.41,6.12,5.27,0,23489008,9326668,28.42,139236,3778576,9297920,28.33,5757448,3197464,86200,lo,4401.40,4401.40,136711.24,136711.24,0.00,0.00,0.00,0.00,0.00,110.40,4134.60,0.00,528.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.40,4584.20
13:01:40,60.95,0.00,1.58,0.03,0.00,37.44,0.60,0.00,73.60,122.67,0.00,1.33,1.33,0.08,0.60,0.00,0.60,0.00,73.60,1,870,5.46,6.11,5.27,0,23286140,9529536,29.04,139244,3784264,9668036,29.46,5968640,3189600,92080,lo,1407.80,1407.80,38722.05,38722.05,0.00,0.00,0.00,0.00,0.00,36.80,10636.60,0.00,996.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,3196.00
13:01:45,96.29,0.00,1.25,0.00,0.00,2.46,1.80,0.00,44.80,24.89,0.00,0.89,0.89,0.16,1.80,0.00,1.80,0.00,44.80,8,872,5.83,6.18,5.30,0,23222632,9593044,29.23,139252,3784272,9746040,29.70,6030744,3189588,92164,lo,1515.80,1515.80,47321.15,47321.15,0.00,0.00,0.00,0.00,0.00,22.40,5182.80,0.00,1794.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,3105.80
13:01:50,97.62,0.00,1.13,0.00,0.00,1.25,1.20,0.00,68.80,57.33,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,68.80,9,873,6.00,6.21,5.31,0,22960232,9855444,30.03,139252,3784284,10032580,30.57,6293752,3189588,92124,lo,1514.20,1514.20,47193.40,47193.40,0.00,0.00,0.00,0.00,0.00,34.40,14132.80,0.00,541.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.80,2979.00
13:01:55,97.22,0.00,1.63,0.00,0.00,1.15,15.40,0.00,30678.40,1992.10,2.44,158.44,2.60,4.00,15.40,0.00,15.40,0.00,30678.40,8,871,6.16,6.24,5.33,0,22702120,10113556,30.82,139260,3784284,10376092,31.62,6550616,3189588,15524,lo,1494.60,1494.60,46765.99,46765.99,0.00,0.00,0.00,0.00,0.00,15339.20,14298.60,0.00,787.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.80,3442.80
13:02:00,96.70,0.00,1.55,0.00,0.00,1.75,4.20,0.00,1571.20,374.10,0.04,10.29,1.52,0.64,4.20,0.00,4.20,0.00,1571.20,8,873,6.31,6.27,5.34,0,22457172,10358504,31.57,139268,3784300,10767084,32.81,6794956,3189584,11792,lo,1516.80,1516.80,46193.39,46193.39,0.00,0.00,0.00,0.00,0.00,785.60,14200.20,0.00,1019.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,3317.80
