timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:52:28,44.80,0.00,2.42,2.72,0.00,50.05,139.00,292.80,14526.40,106.61,0.90,6.51,1.06,14.72,139.00,4.20,134.80,292.80,14526.40,1,755,2.94,3.53,3.02,0,2897012,13404144,82.23,189596,9961212,5575744,34.20,3830656,9027984,179828,lo,292.80,292.80,5105.04,5105.04,0.00,0.00,0.00,0.00,146.40,7254.40,4464.00,0.00,1726.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.40,4469.40
12:52:33,47.17,0.00,2.00,0.00,0.00,50.83,13.40,1.60,18596.80,1387.94,0.64,47.58,1.55,2.08,13.40,0.20,13.20,1.60,18596.80,0,837,2.95,3.52,3.02,0,2499364,13801792,84.67,189620,9978964,6309256,38.70,4209804,9044312,151868,lo,99.80,99.80,1915.49,1915.49,0.00,0.00,0.00,0.00,0.80,9298.40,20879.20,0.00,1674.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,3187.80
12:52:38,86.51,0.00,3.22,0.00,0.00,10.27,12.80,0.00,18484.80,1444.12,0.74,57.62,1.88,2.40,12.80,0.00,12.80,0.00,18484.80,8,897,3.11,3.55,3.03,0,1858272,14442884,88.60,189632,9979760,7038420,43.18,4846556,9043540,106824,lo,189.00,189.00,4198.87,4198.87,0.00,0.00,0.00,0.00,0.00,9242.40,34804.80,0.00,2044.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.40,5628.60
12:52:43,92.76,0.00,1.66,0.00,0.00,5.58,14.00,0.00,18443.20,1317.37,0.81,58.17,1.26,1.76,14.00,0.00,14.00,0.00,18443.20,2,891,3.50,3.62,3.06,0,1827044,14474112,88.79,189640,9979772,7054760,43.28,4878044,9043532,60884,lo,196.00,196.00,5410.62,5410.62,0.00,0.00,0.00,0.00,0.00,9221.60,2036.00,0.00,305.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.20,6960.60
12:52:48,85.84,0.00,3.66,0.00,0.00,10.49,9.40,124.80,9483.20,1022.13,0.25,26.72,2.30,2.16,9.40,1.80,7.60,124.80,9483.20,6,901,3.54,3.63,3.06,0,1845336,14455820,88.68,189644,9988896,7072480,43.39,4860100,9043896,46412,lo,182.20,182.20,3189.86,3189.86,0.00,0.00,0.00,0.00,62.40,4741.60,34187.60,0.00,34353.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.60,5138.40
12:52:53,92.91,0.00,1.76,0.05,0.00,5.28,6.80,163.20,464.00,92.24,0.01,0.94,0.59,0.40,6.80,1.80,5.00,163.20,464.00,4,897,3.90,3.70,3.09,0,1781848,14519308,89.07,189652,9993336,7075384,43.40,4921204,9044052,49436,lo,219.00,219.00,6328.09,6328.09,0.00,0.00,0.00,0.00,81.60,232.00,5126.20,0.00,2163.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,7391.20
12:52:58,83.48,0.00,3.12,0.00,0.00,13.39,14.40,14.40,7123.20,495.67,0.46,32.28,1.17,1.68,14.40,1.00,13.40,14.40,7123.20,7,898,3.91,3.70,3.09,0,2010292,14290864,87.67,189664,9998096,6974272,42.78,4694904,9044368,36848,lo,149.20,149.20,3050.01,3050.01,0.00,0.00,0.00,0.00,7.20,3561.60,24229.60,0.00,35060.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,5270.80
12:53:03,92.38,0.00,2.32,0.00,0.00,5.30,31.40,113.60,7390.40,238.98,0.88,28.15,0.36,1.12,31.40,1.40,30.00,113.60,7390.40,5,892,4.00,3.73,3.10,0,1792196,14508960,89.01,189672,10002448,7049348,43.24,4911584,9044404,22536,lo,233.80,233.80,5992.15,5992.15,0.00,0.00,0.00,0.00,56.80,3695.20,12314.80,0.00,1442.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.60,7316.40
12:53:08,67.23,0.00,2.56,0.05,0.00,30.16,4.80,0.00,1531.20,319.00,0.01,2.67,1.67,0.80,4.80,0.00,4.80,0.00,1531.20,4,908,3.68,3.66,3.09,0,2141312,14159844,86.86,189684,10007140,6919052,42.45,4561280,9047924,24032,lo,100.00,100.00,1309.57,1309.57,0.00,0.00,0.00,0.00,0.00,765.60,16756.60,0.00,33754.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.20,4295.80
12:53:13,67.67,0.00,1.76,0.05,0.00,30.52,2.60,0.00,329.60,126.77,0.01,3.38,1.85,0.48,2.60,0.00,2.60,0.00,329.60,1,897,3.70,3.67,3.09,0,2191412,14109744,86.56,189688,10011324,6878036,42.19,4510260,9048264,27692,lo,200.60,200.60,4837.11,4837.11,0.00,0.00,0.00,0.00,0.00,164.80,13157.80,0.00,14982.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.60,3699.20
