timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:29:38,35.10,0.00,3.10,0.10,0.00,61.71,10.80,155.20,176.00,30.67,0.00,0.44,0.44,0.48,10.80,7.80,3.00,155.20,176.00,3,697,2.63,3.21,3.37,0,1873008,6170612,76.71,85956,3631836,4676012,58.13,2772216,3177260,277520,lo,23.40,23.40,39.07,39.07,0.00,0.00,0.00,0.00,77.60,88.00,23433.00,0.20,40413.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.80,3249.20
14:29:43,46.30,0.00,3.12,0.15,0.00,50.43,10.60,0.00,144.00,13.58,0.01,0.68,0.68,0.72,10.60,0.00,10.60,0.00,144.00,3,735,2.50,3.18,3.36,0,1620768,6422852,79.85,85960,3633340,5135528,63.85,3023008,3177052,279092,lo,794.60,794.60,15731.95,15731.95,0.00,0.00,0.00,0.00,0.00,72.00,14524.00,0.00,9207.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,4907.60
14:29:48,49.97,0.00,2.01,0.05,0.00,47.96,4.60,0.00,540.80,117.57,0.00,1.04,1.04,0.48,4.60,0.00,4.60,0.00,540.80,5,831,2.46,3.16,3.35,0,1269956,6773664,84.21,85984,3633720,5761476,71.63,3369904,3177308,279532,lo,42.40,42.40,30.35,30.35,0.00,0.00,0.00,0.00,0.00,270.40,19919.00,0.00,2124.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,3674.00
14:29:53,70.82,0.00,2.98,0.10,0.00,26.10,0.40,0.00,52.80,132.00,0.00,4.00,4.00,0.16,0.40,0.00,0.40,0.00,52.80,6,850,2.82,3.22,3.37,0,918472,7125148,88.58,85996,3633984,6062028,75.36,3718288,3177512,279804,lo,657.80,657.80,20146.45,20146.45,0.00,0.00,0.00,0.00,0.00,26.40,18171.80,0.00,630.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.80,4128.20
14:29:58,65.87,0.00,3.31,1.48,0.00,29.35,64.20,0.00,79772.80,1242.57,27.94,435.24,4.10,26.32,64.20,0.00,64.20,0.00,79772.80,2,846,3.00,3.25,3.38,0,814268,7229352,89.88,85996,3714032,6068712,75.45,3822588,3177544,160756,lo,240.60,240.60,7486.84,7486.84,0.00,0.00,0.00,0.00,0.00,39886.40,1468.40,0.00,230.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,2071.80
14:30:03,64.73,0.00,1.30,0.00,0.00,33.97,1.60,0.00,148.80,93.00,0.00,0.50,0.50,0.08,1.60,0.00,1.60,0.00,148.80,3,847,3.16,3.28,3.39,0,805916,7237704,89.98,86000,3718752,6069472,75.46,3830412,3177528,165320,lo,404.00,404.00,13106.06,13106.06,0.00,0.00,0.00,0.00,0.00,74.40,953.40,0.00,584.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.80,2579.40
14:30:08,57.06,0.00,2.32,0.00,0.00,40.62,14.00,0.00,425.60,30.40,0.02,1.09,0.11,0.16,14.00,0.00,14.00,0.00,425.60,7,850,3.06,3.26,3.38,0,725480,7318140,90.98,86004,3797936,6066912,75.43,3910960,3177524,243660,lo,436.80,436.80,14257.17,14257.17,0.00,0.00,0.00,0.00,0.00,212.80,744.20,0.00,412.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2476.00
14:30:13,53.36,0.00,3.29,0.05,0.00,43.30,21.60,0.00,31777.60,1471.19,1.54,64.63,1.07,2.32,18.60,0.00,18.60,0.00,31529.60,2,851,2.98,3.24,3.38,0,437924,7605696,94.56,86008,4078576,6071160,75.48,4192352,3177564,369104,lo,18.20,18.20,3.07,3.07,0.00,0.00,0.00,0.00,0.00,31976.00,825.80,0.00,619.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.60,2030.40
14:30:18,68.02,0.00,4.70,2.30,0.00,24.97,46.80,0.00,64337.60,1374.74,5.89,128.87,1.78,8.32,47.80,0.00,47.80,0.00,64464.00,7,854,2.90,3.22,3.37,2,641828,7401792,92.02,86044,3874776,6059872,75.34,3990792,3177564,241560,lo,270.80,270.80,6925.52,6925.52,0.00,0.00,0.00,0.00,0.00,16081.60,26439.00,0.00,38095.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.80,5021.20
14:30:23,69.10,0.00,1.41,1.01,0.00,28.49,51.20,0.00,96310.40,1881.06,16.71,326.42,3.84,19.68,52.80,0.00,52.80,0.00,96390.40,2,855,3.15,3.26,3.38,1,635796,7407824,92.10,86048,3874788,6066108,75.42,3995020,3177548,996,lo,579.60,579.60,17580.72,17580.72,0.00,0.00,0.00,0.00,0.00,48155.20,930.40,0.00,576.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2784.20
