timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:44:29,44.80,0.00,2.62,1.31,0.00,51.26,56.60,1532.80,624.00,38.11,0.05,0.83,0.62,3.52,60.00,50.60,9.40,1587.20,635.20,4,659,3.20,2.77,2.89,0,554828,3360296,85.83,4336,1246352,4099980,104.72,2248440,976804,121120,lo,32.40,32.40,67.89,67.89,0.00,0.00,0.00,0.00,789.60,313.60,12184.80,7.00,27042.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,2360.20
13:44:34,78.23,0.00,3.73,1.11,0.00,16.94,76.40,1112.00,137.60,16.36,0.07,0.89,0.67,5.12,76.40,65.80,10.60,1112.00,137.60,1,636,3.18,2.78,2.89,0,658668,3256456,83.18,4572,1250168,3813844,97.41,2145988,976536,122720,lo,62.20,62.20,113.37,113.37,0.00,0.00,0.00,0.00,556.00,68.80,16848.00,0.00,21691.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,2686.40
13:44:39,81.39,0.00,3.52,2.41,0.00,12.68,84.20,1833.60,123.20,23.24,0.07,0.85,0.68,5.76,82.40,81.00,1.40,1816.00,123.20,2,678,3.09,2.76,2.89,0,378852,3536272,90.32,4612,1255224,4285260,109.45,2425772,974876,123328,lo,53.00,53.00,86.39,86.39,0.00,0.00,0.00,0.00,910.40,61.60,16149.60,1.80,2120.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,2977.40
13:44:44,63.95,0.00,3.63,0.20,0.00,32.23,15.00,195.20,97.60,19.52,0.01,0.59,0.48,0.72,16.20,13.00,3.20,200.00,97.60,3,758,3.00,2.75,2.88,0,188332,3726792,95.19,4632,1256096,4761368,121.61,2612852,974856,123776,lo,37.60,37.60,29.70,29.70,0.00,0.00,0.00,0.00,97.60,48.80,11917.80,0.00,2107.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.60,3431.00
13:44:49,93.27,0.00,6.43,0.10,0.00,0.20,476.00,42568.00,37598.40,168.42,4.27,8.97,0.25,11.76,476.60,437.60,39.00,42580.80,37598.40,4,775,3.08,2.77,2.89,0,114552,3800572,97.07,2636,976204,5054160,129.09,2946524,712628,30384,lo,1293.60,1293.60,44257.00,44257.00,0.00,0.00,0.00,0.00,21290.40,18799.20,18715.80,1.80,20390.20,19466.00,0.00,19429.80,99.81,0.00,0.00,0,0,0.00,0,0.00,9.20,3299.60
13:44:54,69.67,0.00,14.24,13.63,0.00,2.46,344.80,11460.80,188731.20,580.60,43.20,103.85,1.50,51.68,344.80,139.20,205.60,11460.80,188731.20,0,774,3.07,2.78,2.89,6,305972,3609152,92.18,1532,780384,5063888,129.34,3199988,267412,38744,lo,419.20,419.20,12552.12,12552.12,0.00,0.00,0.00,0.00,5751.20,108188.00,624.20,4.60,39067.40,27533.00,0.00,27495.00,99.86,0.00,0.00,0,0,0.00,0,0.00,4.60,2253.00
13:44:59,54.26,0.00,4.56,20.08,0.00,21.10,495.80,11593.60,32441.60,88.82,12.94,41.01,0.79,38.96,493.60,458.00,35.60,11561.60,32441.60,3,767,2.91,2.75,2.88,0,627916,3287208,83.96,1824,809244,4769240,121.82,2868468,278940,27744,lo,37.20,37.20,11.62,11.62,0.00,0.00,0.00,0.00,5772.80,2398.40,9810.00,16.80,26841.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,4052.80
13:45:04,91.20,0.00,7.40,1.00,0.00,0.40,1024.20,87859.20,10891.20,96.42,1.39,1.35,0.25,25.52,1026.40,1016.20,10.20,87891.20,10891.20,4,786,2.83,2.73,2.88,0,136120,3779004,96.52,2268,950988,5058424,129.20,3176540,460408,1184,lo,1276.80,1276.80,43914.68,43914.68,0.00,0.00,0.00,0.00,43932.80,5445.60,18198.40,5.80,4619.40,4059.00,0.00,3889.00,95.81,0.00,0.00,0,0,0.00,0,0.00,10.20,3336.00
13:45:09,64.97,0.00,13.30,20.61,0.00,1.12,392.00,21464.00,159342.40,461.24,48.45,107.25,1.44,56.56,391.60,234.80,156.80,21448.00,159342.40,0,794,3.01,2.77,2.89,6,401392,3513732,89.75,1616,679276,5077280,129.68,3129540,240012,68676,lo,399.00,399.00,12588.83,12588.83,0.00,0.00,0.00,0.00,10735.20,96144.80,840.40,4.40,44047.80,30291.60,0.00,30000.00,99.04,0.00,0.00,0,0,0.00,0,0.00,5.20,2378.80
13:45:14,53.46,0.00,4.01,20.56,0.00,21.97,178.40,4641.60,42256.00,262.88,15.72,124.04,1.54,27.44,178.80,141.80,37.00,4657.60,42256.00,4,768,2.77,2.73,2.87,0,745056,3170068,80.97,1720,690864,4773252,121.92,2797056,232264,46080,lo,37.20,37.20,8.23,8.23,0.00,0.00,0.00,0.00,2317.60,4654.40,9620.20,10.60,26774.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,3709.40
13:45:19,92.97,0.00,7.03,0.00,0.00,0.00,910.00,84812.80,10446.40,104.68,1.58,1.74,0.27,24.80,909.80,895.80,14.00,84811.20,10446.40,5,786,2.87,2.75,2.88,0,179740,3735384,95.41,2012,902960,5063376,129.33,3153400,439728,20660,lo,1394.80,1394.80,43988.99,43988.99,0.00,0.00,0.00,0.00,42406.40,5223.20,18388.80,1.80,734.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.60,3477.00
13:45:24,79.37,0.00,16.34,1.94,0.00,2.35,404.40,22046.40,196422.40,540.23,20.67,51.10,0.84,33.92,404.60,211.80,192.80,22048.00,196422.40,3,748,2.88,2.75,2.88,0,630916,3284208,83.89,1120,763668,4825836,123.26,2833056,308688,78104,lo,446.40,446.40,12706.84,12706.84,0.00,0.00,0.00,0.00,11023.20,98211.20,3974.60,5.00,58497.80,23900.60,0.00,23455.20,98.14,0.00,0.00,0,0,0.00,0,0.00,15.60,4080.80
13:45:29,93.78,0.00,5.82,0.10,0.00,0.30,362.00,35000.00,2054.40,102.36,0.48,1.31,0.29,10.32,347.20,343.20,4.00,33560.00,2054.40,3,782,2.89,2.76,2.88,0,360924,3554200,90.78,1144,850464,4930452,125.93,3029508,382652,73912,lo,552.40,552.40,17502.15,17502.15,0.00,0.00,0.00,0.00,17308.00,1027.20,17382.40,0.60,5919.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3516.80
13:45:34,86.28,0.00,13.62,0.00,0.00,0.10,856.40,70352.00,121870.40,224.45,23.73,17.42,0.47,39.84,871.20,734.40,136.80,71792.00,121870.40,3,787,3.22,2.83,2.90,1,126100,3789024,96.78,732,953028,5062236,129.30,3216220,429560,95532,lo,1131.80,1131.80,38993.13,38993.13,0.00,0.00,0.00,0.00,35368.00,78631.20,6839.80,1.40,24765.00,24597.40,0.00,24441.80,99.37,0.00,0.00,0,0,0.00,0,0.00,3.00,2692.80
13:45:39,58.63,0.00,8.94,28.61,0.00,3.82,136.00,3588.80,96800.00,738.15,46.32,405.41,3.29,44.80,136.00,63.20,72.80,3588.80,96800.00,5,761,3.52,2.90,2.93,0,730888,3184236,81.33,748,692696,4765388,121.72,2751188,291372,75940,lo,42.00,42.00,9.25,9.25,0.00,0.00,0.00,0.00,1794.40,30704.00,9716.80,22.20,46581.80,7648.80,0.00,7647.40,99.98,0.00,0.00,0,0,0.00,0,0.00,18.00,4521.20
13:45:44,92.38,0.00,7.52,0.10,0.00,0.00,217.80,89144.00,30336.00,548.58,1.70,7.83,1.13,24.64,217.80,189.60,28.20,89144.00,30336.00,4,778,3.56,2.91,2.93,0,122544,3792580,96.87,772,946804,5062172,129.30,3138488,510972,31756,lo,1345.00,1345.00,43702.81,43702.81,0.00,0.00,0.00,0.00,44572.00,15168.00,18105.00,0.60,436.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.60,3102.80
13:45:49,77.86,0.00,13.49,3.71,0.00,4.94,229.00,18328.00,191560.00,916.54,26.21,114.44,1.95,44.72,229.00,50.60,178.40,18328.00,191560.00,3,740,3.99,3.02,2.96,0,763456,3151668,80.50,744,760596,4494328,114.79,2672952,337680,39704,lo,438.40,438.40,11061.77,11061.77,0.00,0.00,0.00,0.00,9164.00,95780.00,4372.60,9.60,62759.20,23229.20,0.00,22982.40,98.94,0.00,0.00,0,0,0.00,0,0.00,17.40,2743.00
13:45:54,94.19,0.00,5.31,0.00,0.00,0.50,124.80,44713.60,16392.00,489.63,0.81,6.47,1.12,13.92,120.40,100.40,20.00,42460.80,16392.00,4,777,4.00,3.03,2.97,0,250908,3664216,93.59,928,871292,5038580,128.70,3084856,436332,888,lo,615.60,615.60,20866.07,20866.07,0.00,0.00,0.00,0.00,22049.60,8196.00,21021.20,1.20,586.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3502.00
13:45:59,83.97,0.00,15.11,0.21,0.00,0.72,305.20,62798.40,175003.20,779.17,17.28,54.12,1.31,39.92,309.40,133.00,176.40,65049.60,175003.20,3,769,4.16,3.08,2.99,0,296116,3619008,92.44,868,982228,4828636,123.33,3045852,429896,62396,lo,1020.40,1020.40,33719.82,33719.82,0.00,0.00,0.00,0.00,31706.40,90164.00,5503.60,1.00,41229.40,21674.40,0.00,21533.80,99.35,0.00,0.00,0,0,0.00,0,0.00,12.60,3018.00
