timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:24:24,59.64,0.00,5.05,14.53,0.00,20.79,504.80,18076.80,94.40,36.00,0.42,0.84,0.70,35.12,508.80,507.60,1.20,18603.20,94.40,3,693,2.13,2.66,2.92,0,1328816,2586308,66.06,6368,322488,4185228,106.90,2375088,81712,656,lo,10.80,10.80,2.72,2.72,0.00,0.00,0.00,0.00,8833.60,47.20,17349.00,23.20,19376.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,3174.20
14:24:29,87.12,0.00,3.82,4.43,0.00,4.63,315.60,7662.40,777.60,26.74,0.24,0.77,0.68,21.36,317.60,300.40,17.20,7737.60,744.00,3,709,2.12,2.65,2.91,0,1054232,2860892,73.07,6548,342952,4540148,115.96,2637672,92772,704,lo,20.40,20.40,2.59,2.59,0.00,0.00,0.00,0.00,3792.80,423.20,13636.40,0.40,731.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.40,2840.40
14:24:34,72.89,0.00,2.54,12.18,0.00,12.39,382.80,2478.40,5142.40,19.91,0.35,0.92,0.83,31.92,378.40,82.40,296.00,2216.00,5128.00,3,714,2.11,2.64,2.91,0,1009016,2906108,74.23,8924,351880,4575212,116.86,2679376,95860,1272,lo,5.00,5.00,0.89,0.89,0.00,0.00,0.00,0.00,1239.20,2536.80,2143.40,0.00,287.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,3866.20
14:24:39,67.56,0.00,2.20,7.78,0.00,22.46,305.00,6252.80,400.00,21.81,0.30,0.98,0.68,20.64,294.20,276.80,17.40,6497.60,259.20,3,717,2.18,2.65,2.91,0,925468,2989656,76.36,9040,367528,4636752,118.43,2757968,100592,744,lo,25.20,25.20,3.50,3.50,0.00,0.00,0.00,0.00,3126.40,200.00,4074.20,0.20,507.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.40,3059.00
14:24:44,79.96,0.00,6.34,3.93,0.00,9.77,192.80,34795.20,30777.60,340.11,1.58,8.17,0.79,15.28,209.40,174.20,35.20,34606.40,30966.40,3,725,2.24,2.65,2.91,0,458148,3456976,88.30,9056,607632,4876936,124.57,3066548,258400,77596,lo,665.40,665.40,18566.75,18566.75,0.00,0.00,0.00,0.00,17448.80,15388.80,12171.00,0.00,3580.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4831.00
14:24:49,93.35,0.00,3.63,0.00,0.00,3.02,57.60,27651.20,19.20,480.39,0.14,2.36,2.26,13.04,57.40,57.00,0.40,27550.40,17.60,2,726,2.22,2.64,2.90,0,256676,3658448,93.44,9064,677056,4975676,127.09,3198352,327836,77624,lo,788.20,788.20,24536.24,24536.24,0.00,0.00,0.00,0.00,13928.00,9.60,7635.40,0.20,821.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,2595.40
14:24:54,94.84,0.00,2.93,0.00,0.00,2.22,104.00,26480.00,14649.60,395.48,0.57,5.45,1.31,13.60,102.60,80.80,21.80,26284.80,14651.20,2,727,2.37,2.67,2.91,0,161772,3753352,95.87,9100,765816,4977576,127.14,3206428,414408,66416,lo,619.80,619.80,18896.61,18896.61,0.00,0.00,0.00,0.00,13286.40,7324.80,681.80,0.00,1493.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,2364.60
14:24:59,92.39,0.00,4.97,0.00,0.00,2.64,432.00,48745.60,19315.20,157.55,1.25,2.90,0.41,17.84,430.60,419.20,11.40,48814.40,19315.20,3,729,2.34,2.65,2.90,0,121680,3793444,96.89,8392,800656,4977352,127.13,3200728,460316,27736,lo,888.00,888.00,27132.93,27132.93,0.00,0.00,0.00,0.00,24463.20,9657.60,950.60,2.20,6730.40,4789.40,0.00,4644.60,96.98,0.00,0.00,0,0,0.00,0,0.00,3.40,2536.80
14:25:04,92.42,0.00,5.16,0.10,0.00,2.33,368.60,41907.20,54.40,113.84,0.67,1.83,0.49,17.92,371.60,371.20,0.40,42134.40,54.40,3,732,2.39,2.66,2.90,0,127276,3787848,96.75,8720,781464,4984732,127.32,3224396,431240,67624,lo,751.80,751.80,23398.64,23398.64,0.00,0.00,0.00,0.00,20816.80,27.20,1495.00,7.40,9966.20,8869.20,0.00,8175.60,92.18,0.00,0.00,0,0,0.00,0,0.00,5.80,2628.80
14:25:09,91.19,0.00,5.26,0.00,0.00,3.54,340.20,62128.00,72.00,182.83,0.61,1.80,0.72,24.64,337.80,337.40,0.40,61736.00,72.00,2,735,2.36,2.65,2.90,0,133552,3781572,96.59,8568,800020,4969608,126.93,3170288,478644,55260,lo,1034.80,1034.80,31605.13,31605.13,0.00,0.00,0.00,0.00,31220.00,36.00,3305.40,1.40,12025.80,6422.40,0.00,6220.20,96.85,0.00,0.00,0,0,0.00,0,0.00,3.20,2626.80
14:25:14,92.73,0.00,5.05,0.20,0.00,2.02,293.60,46112.00,33606.40,271.52,2.94,10.00,0.74,21.60,292.20,253.40,38.80,46227.20,33606.40,3,729,2.33,2.64,2.89,0,141524,3773600,96.39,8292,771964,4967892,126.89,3172172,468872,27708,lo,808.80,808.80,24430.14,24430.14,0.00,0.00,0.00,0.00,23036.80,16803.20,1499.80,0.00,11691.80,9010.00,0.00,8549.80,94.89,0.00,0.00,0,0,0.00,0,0.00,1.60,2398.80
14:25:19,92.70,0.00,4.87,0.00,0.00,2.43,489.40,57846.40,60.80,118.32,0.78,1.60,0.44,21.36,490.00,489.60,0.40,57758.40,60.80,3,730,2.30,2.63,2.89,0,131432,3783692,96.64,8228,778700,4968800,126.91,3166236,484428,38308,lo,989.60,989.60,30756.80,30756.80,0.00,0.00,0.00,0.00,28926.40,30.40,679.80,0.00,7818.40,7427.20,0.00,7427.20,100.00,0.00,0.00,0,0,0.00,0,0.00,2.60,2501.20
14:25:24,92.14,0.00,5.24,0.10,0.00,2.52,408.00,45518.40,75.20,111.75,0.59,1.44,0.38,15.68,406.60,406.20,0.40,45508.80,75.20,3,727,2.28,2.62,2.89,0,131096,3784028,96.65,8336,848732,4942568,126.24,3089656,561656,55224,lo,838.20,838.20,25344.35,25344.35,0.00,0.00,0.00,0.00,22659.20,37.60,1272.20,2.00,10378.00,3003.80,0.00,3003.60,99.99,0.00,0.00,0,0,0.00,0,0.00,4.00,2385.40
