timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:46:34,76.50,0.00,3.40,6.90,0.00,13.20,157.80,27.20,3105.60,19.85,0.17,1.08,0.98,15.52,157.80,0.80,157.00,27.20,3105.60,2,701,2.88,2.85,2.86,0,2141680,5902212,73.38,25792,3450556,4290528,53.34,3503060,2149228,2376,lo,4.80,4.80,0.69,0.69,0.00,0.00,0.00,0.00,13.60,1552.80,17655.80,0.20,11013.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,3697.60
11:46:39,82.13,0.00,2.61,6.12,0.00,9.14,167.20,4.80,2827.20,16.94,0.18,1.05,0.99,16.48,167.20,0.60,166.60,4.80,2827.20,2,706,2.81,2.84,2.86,0,2023120,6020772,74.85,26972,3469344,4396728,54.66,3616900,2154088,19928,lo,174.40,174.40,3483.96,3483.96,0.00,0.00,0.00,0.00,2.40,1413.60,5374.00,0.00,804.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,4324.60
11:46:44,69.84,0.00,2.81,0.10,0.00,27.25,3.00,0.00,145.60,48.53,0.00,0.53,0.53,0.16,3.00,0.00,3.00,0.00,145.60,0,789,2.74,2.82,2.85,0,1720980,6322912,78.61,26984,3487116,4965896,61.73,3900724,2170272,37876,lo,166.60,166.60,3532.79,3532.79,0.00,0.00,0.00,0.00,0.00,72.80,15674.80,0.00,1240.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,2563.20
11:46:49,77.86,0.00,2.91,0.00,0.00,19.24,3.00,0.00,307.20,102.40,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,307.20,4,836,2.92,2.86,2.86,0,1436412,6607480,82.14,26992,3487840,5471436,68.02,4182000,2170544,38196,lo,42.00,42.00,12.14,12.14,0.00,0.00,0.00,0.00,0.00,153.60,15963.40,0.00,1336.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.40,4002.60
11:46:54,97.40,0.00,2.40,0.00,0.00,0.20,1.80,1.60,75.20,42.67,0.00,0.44,0.44,0.08,1.80,0.20,1.60,1.60,75.20,4,843,2.93,2.86,2.86,0,1120556,6923336,86.07,27008,3487912,5666440,70.44,4497532,2169124,38248,lo,287.60,287.60,7698.89,7698.89,0.00,0.00,0.00,0.00,0.80,37.60,17409.80,0.00,1081.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2699.00
11:46:59,87.37,0.00,2.71,0.00,0.00,9.92,6.00,0.00,512.00,85.33,0.01,0.93,0.80,0.48,6.00,0.00,6.00,0.00,512.00,3,823,3.02,2.88,2.87,0,1562884,6481008,80.57,27020,3496204,5402192,67.16,4058768,2168684,45576,lo,111.20,111.20,1923.23,1923.23,0.00,0.00,0.00,0.00,0.00,256.00,7409.00,0.00,29409.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.40,4389.60
11:47:04,96.69,0.00,3.31,0.00,0.00,0.00,22.80,0.00,582.40,25.54,0.08,3.68,0.14,0.32,22.80,0.00,22.80,0.00,582.40,4,853,3.18,2.92,2.88,0,1138592,6905300,85.85,27032,3496732,5765048,71.67,4479188,2169088,45004,lo,170.80,170.80,3983.22,3983.22,0.00,0.00,0.00,0.00,0.00,291.20,22381.00,0.00,807.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.58,3241.72
11:47:09,98.70,0.00,1.30,0.00,0.00,0.00,12.80,0.00,6979.20,545.25,0.21,16.69,0.62,0.80,12.80,0.00,12.80,0.00,6979.20,5,853,3.32,2.95,2.89,0,1100700,6943192,86.32,27040,3496748,5771616,71.75,4516644,2169012,27848,lo,194.00,194.00,5619.76,5619.76,0.00,0.00,0.00,0.00,0.00,3489.60,2843.00,0.00,558.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2929.20
11:47:14,82.36,0.00,3.11,0.00,0.00,14.53,16.80,0.00,7342.40,437.05,0.31,18.71,0.57,0.96,16.80,0.00,16.80,0.00,7342.40,4,835,3.06,2.90,2.88,0,1452980,6590912,81.94,27056,3505016,5603976,69.67,4167460,2168316,18288,lo,53.00,53.00,18.99,18.99,0.00,0.00,0.00,0.00,0.00,3671.20,11888.20,0.00,29225.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,4315.20
11:47:19,97.30,0.00,2.60,0.00,0.00,0.10,3.80,0.00,137.60,36.21,0.00,0.84,0.42,0.16,3.80,0.00,3.80,0.00,137.60,3,853,3.13,2.92,2.88,0,1108148,6935744,86.22,27068,3505536,5767636,71.70,4510040,2168680,18700,lo,272.20,272.20,7055.87,7055.87,0.00,0.00,0.00,0.00,0.00,68.80,18121.00,0.00,415.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2693.20
