timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:26:46,64.78,0.00,8.07,0.61,0.00,26.54,6.80,49.60,1867.20,281.88,0.05,6.94,1.76,1.20,6.80,2.40,4.40,49.60,1867.20,2,639,2.26,1.88,0.89,0,4885108,3158784,39.27,46080,1039948,4261464,52.98,2451444,573280,56212,lo,18.60,18.60,2.77,2.77,0.00,0.00,0.00,0.00,24.80,933.60,16877.40,0.20,53168.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,2587.80
20:26:51,62.44,0.00,11.88,1.21,0.00,24.47,8.40,8.00,2688.00,320.95,0.12,14.29,2.29,1.92,8.80,1.00,7.80,8.00,2691.20,3,643,2.24,1.88,0.89,0,4521976,3521916,43.78,46156,1176764,4318620,53.69,2635336,708152,201248,lo,13.20,13.20,11.91,11.91,0.00,0.00,0.00,0.00,4.00,1344.00,17821.80,0.00,10797.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,2928.60
20:26:56,85.80,0.00,5.74,1.01,0.00,7.45,58.20,16.00,6368.00,109.69,0.36,6.25,0.81,4.72,58.00,2.00,56.00,16.00,6494.40,5,672,2.38,1.92,0.91,0,4262964,3780928,47.00,46264,1280872,4660912,57.94,2792112,805940,311556,lo,830.20,830.20,20846.97,20846.97,0.00,0.00,0.00,0.00,8.00,3184.00,9921.20,0.00,3526.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,4400.60
20:27:01,61.28,0.00,4.61,0.00,0.00,34.10,4.80,12.80,168.00,37.67,0.01,2.00,1.83,0.88,5.00,1.60,3.40,12.80,131.20,0,739,2.35,1.92,0.92,3,4407824,3636068,45.20,46312,948864,4910124,61.04,2966264,492224,311812,lo,36.00,36.00,29.01,29.01,0.00,0.00,0.00,0.00,6.40,82.40,11186.20,0.00,18206.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,2955.40
20:27:06,93.59,0.00,5.51,0.10,0.00,0.80,2.80,14.40,97.60,40.00,0.00,1.14,1.14,0.32,2.80,1.80,1.00,14.40,88.00,7,772,2.57,1.97,0.94,0,4126600,3917292,48.70,46392,949408,5684900,70.67,3244248,492568,312424,lo,34.80,34.80,5.77,5.77,0.00,0.00,0.00,0.00,7.20,50.40,15445.00,0.00,914.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3462.60
20:27:11,90.35,0.00,7.34,0.00,0.00,2.31,30.20,14.40,6212.80,206.20,0.62,20.40,0.56,1.68,29.80,1.80,28.00,14.40,6129.60,6,769,2.60,1.99,0.95,0,4186524,3857368,47.95,46452,969940,5508904,68.49,3165240,511844,317804,lo,206.80,206.80,4155.18,4155.18,0.00,0.00,0.00,0.00,7.20,3106.40,24638.00,0.00,28909.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,4677.20
20:27:16,90.18,0.00,8.02,0.00,0.00,1.80,7.00,12.80,300.80,44.80,0.01,1.60,1.49,1.04,7.00,1.60,5.40,12.80,300.80,5,772,2.63,2.00,0.96,0,4210852,3833040,47.65,46504,990808,5503444,68.42,3120528,531280,338532,lo,242.60,242.60,4153.80,4153.80,0.00,0.00,0.00,0.00,6.40,150.40,26964.20,0.00,29571.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,4355.60
20:27:21,88.88,0.00,9.12,0.10,0.00,1.90,203.60,12.80,36548.80,179.58,3.34,16.42,0.39,8.00,203.60,1.60,202.00,12.80,36548.80,3,757,2.66,2.02,0.97,0,4013448,4030444,50.11,46548,1011692,5434604,67.56,3297876,550832,268516,lo,221.20,221.20,4151.40,4151.40,0.00,0.00,0.00,0.00,6.40,18274.40,23946.00,0.00,18498.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,3941.20
20:27:26,89.84,0.00,7.44,0.00,0.00,2.72,275.20,12.80,63065.60,229.21,7.72,28.06,0.52,14.40,275.20,1.60,273.60,12.80,63065.60,3,780,2.85,2.07,0.99,0,4015984,4027908,50.07,46604,1011956,5688920,70.72,3294244,551012,120052,lo,28.80,28.80,5.02,5.02,0.00,0.00,0.00,0.00,6.40,31532.80,15743.40,0.00,17560.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.80,3465.60
20:27:31,78.95,0.00,7.35,0.00,0.00,13.70,19.60,14.40,22609.60,1154.29,0.99,50.33,2.37,4.64,19.60,1.80,17.80,14.40,22609.60,3,771,3.10,2.14,1.02,0,4133920,3909972,48.61,46692,1032524,5538812,68.86,3157176,570292,92452,lo,228.40,228.40,4152.55,4152.55,0.00,0.00,0.00,0.00,7.20,11304.80,23858.00,0.00,31225.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.40,3652.00
