timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
10:39:09,57.82,0.00,3.83,0.50,0.00,37.84,23.80,19.20,424.00,18.62,0.03,1.24,1.21,2.88,23.60,2.40,21.20,19.20,304.00,4,733,3.12,2.92,2.73,1,2445492,5598400,69.60,151252,3050612,4533104,56.35,2791660,2565364,1296,lo,126.00,126.00,130.15,130.15,0.00,0.00,0.00,0.00,9.60,152.00,12435.80,0.00,26943.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,3243.00
10:39:14,69.99,0.00,3.42,0.30,0.00,26.28,16.40,19.20,187.20,12.59,0.04,2.68,2.63,4.32,16.40,2.40,14.00,19.20,260.80,3,701,3.03,2.90,2.72,2,2652744,5391148,67.02,151308,3050388,4102836,51.01,2585692,2565744,2536,lo,64.00,64.00,136.16,136.16,0.00,0.00,0.00,0.00,9.60,131.20,18977.40,0.00,28377.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.80,3325.80
10:39:19,76.46,0.00,2.62,0.20,0.00,20.72,18.80,345.60,1625.60,104.85,0.04,1.91,1.87,3.52,18.60,11.80,6.80,345.60,1550.40,4,744,3.35,2.97,2.75,0,2342572,5701320,70.88,151396,3054268,4777672,59.40,2893428,2566476,3232,lo,79.80,79.80,539.24,539.24,0.00,0.00,0.00,0.00,172.80,775.20,16611.40,0.00,1225.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,2845.60
10:39:24,62.61,0.00,3.12,0.30,0.00,33.97,5.80,4.80,161.60,28.69,0.01,2.48,2.48,1.44,5.80,0.60,5.20,4.80,161.60,5,824,3.32,2.97,2.75,0,2095504,5948388,73.95,151432,3054744,5352548,66.54,3136796,2566660,3564,lo,44.80,44.80,41.97,41.97,0.00,0.00,0.00,0.00,2.40,80.80,13580.40,0.00,850.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,4132.60
10:39:29,78.76,0.00,3.51,0.00,0.00,17.74,4.20,4.80,155.20,38.10,0.00,0.95,0.95,0.40,4.20,0.60,3.60,4.80,155.20,5,824,3.29,2.97,2.75,0,2088796,5955096,74.03,151448,3054844,5391596,67.03,3143184,2566696,3700,lo,70.40,70.40,15.76,15.76,0.00,0.00,0.00,0.00,2.40,77.60,24528.00,0.00,23878.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.40,4734.60
10:39:34,93.49,0.00,4.61,0.00,0.00,1.90,22.20,25.60,392.00,18.81,0.06,2.85,1.01,2.24,22.20,3.20,19.00,25.60,392.00,5,831,3.35,2.99,2.76,0,2040632,6003260,74.63,151512,3055260,5347412,66.48,3190924,2566944,3352,lo,63.60,63.60,12.64,12.64,0.00,0.00,0.00,0.00,12.80,196.00,27777.20,0.00,24970.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,4209.00
10:39:39,88.51,0.00,5.99,0.00,0.00,5.49,5.80,25.60,147.20,29.79,0.01,1.52,1.38,0.80,5.80,3.20,2.60,25.60,147.20,5,826,3.32,2.99,2.76,0,2007216,6036676,75.05,151584,3055072,5379956,66.88,3224300,2566704,3412,lo,103.40,103.40,21.06,21.06,0.00,0.00,0.00,0.00,12.80,73.60,39588.00,0.00,37502.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,4517.40
10:39:44,76.15,0.00,4.29,0.10,0.00,19.46,9.40,24.00,286.40,33.02,0.02,1.96,1.96,1.84,9.40,3.00,6.40,24.00,286.40,7,829,3.06,2.94,2.74,0,2108612,5935280,73.79,151652,3055352,5301996,65.91,3123384,2566852,3392,lo,68.40,68.40,12.98,12.98,0.00,0.00,0.00,0.00,12.00,143.20,20298.00,0.00,24908.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.60,3976.20
10:39:49,90.94,0.00,4.33,0.00,0.00,4.73,21.40,24.00,982.40,47.03,0.06,2.84,1.16,2.48,21.40,3.00,18.40,24.00,982.40,3,825,2.97,2.92,2.74,0,2099000,5944892,73.91,151728,3055344,5301636,65.91,3132520,2566732,1456,lo,96.20,96.20,21.48,21.48,0.00,0.00,0.00,0.00,12.00,491.20,16101.40,0.00,15330.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,4246.80
10:39:54,93.57,0.00,4.52,0.10,0.00,1.81,6.60,4.80,300.80,46.30,0.01,1.45,1.33,0.88,6.60,0.60,6.00,4.80,300.80,7,826,3.13,2.96,2.75,0,2061220,5982672,74.38,151744,3055612,5278440,65.62,3169120,2566912,1552,lo,80.40,80.40,18.13,18.13,0.00,0.00,0.00,0.00,2.40,150.40,17354.00,0.00,15066.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,4617.20
