timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
10:32:34,66.00,0.00,3.01,1.00,0.00,29.99,17.40,20.80,283.20,17.47,0.05,2.62,2.16,3.76,17.00,2.60,14.40,20.80,307.20,3,678,2.78,2.92,2.68,4,3224372,4819520,59.92,139256,2574384,3977668,49.45,2478400,2125004,228,lo,108.00,108.00,2351.01,2351.01,0.00,0.00,0.00,0.00,10.40,153.60,12293.20,0.00,67631.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,2899.60
10:32:39,80.88,0.00,3.80,0.00,0.00,15.32,10.80,72.00,108.80,16.74,0.10,9.11,2.30,2.48,10.80,9.00,1.80,72.00,88.00,8,728,2.96,2.95,2.69,3,2927184,5116708,63.61,139440,2574420,4541264,56.46,2773768,2125028,444,lo,13.80,13.80,3.09,3.09,0.00,0.00,0.00,0.00,36.00,44.00,22677.60,0.00,7103.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,3545.60
10:32:44,90.98,0.00,4.31,0.00,0.00,4.71,18.80,17.60,30771.20,1637.70,0.99,52.72,2.04,3.84,18.40,2.20,16.20,17.60,30716.80,3,751,2.97,2.95,2.69,1,2398396,5645496,70.18,139492,2727792,4922024,61.19,3221816,2201584,77092,lo,553.60,553.60,19020.71,19020.71,0.00,0.00,0.00,0.00,8.80,15387.20,19641.00,0.00,3761.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,3292.80
10:32:49,96.09,0.00,1.50,0.10,0.00,2.31,3.40,14.40,96.00,32.47,0.04,11.06,11.06,3.76,4.00,1.80,2.20,14.40,163.20,3,758,2.97,2.96,2.70,1,2338980,5704912,70.92,139532,2734496,4954996,61.60,3276756,2205532,83788,lo,475.40,475.40,14669.73,14669.73,0.00,0.00,0.00,0.00,7.20,52.80,3145.40,0.00,407.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,2542.60
10:32:54,96.50,0.00,1.80,0.00,0.00,1.70,2.00,9.60,68.80,39.20,0.01,4.40,4.40,0.88,1.80,1.20,0.60,9.60,54.40,3,764,2.97,2.96,2.70,2,2263980,5779912,71.85,139564,2734532,5069688,63.03,3356048,2201572,83908,lo,250.40,250.40,5677.28,5677.28,0.00,0.00,0.00,0.00,4.80,27.20,4306.80,0.00,527.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2066.40
10:32:59,97.18,0.00,1.41,0.00,0.00,1.41,1.80,11.20,52.80,35.56,0.02,8.44,8.44,1.52,1.80,1.40,0.40,11.20,17.60,2,764,2.89,2.94,2.69,2,2243076,5800816,72.11,139600,2734536,5096832,63.36,3376236,2201564,83952,lo,407.40,407.40,12304.40,12304.40,0.00,0.00,0.00,0.00,5.60,8.80,1545.40,0.00,420.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2117.40
10:33:04,95.77,0.00,1.71,0.00,0.00,2.52,10.00,64.00,33.60,9.76,0.11,11.28,1.84,1.84,10.20,8.00,2.20,64.00,89.60,3,768,2.82,2.93,2.69,2,2205644,5838248,72.58,139764,2736128,5165776,64.22,3411640,2203120,85520,lo,381.00,381.00,10600.81,10600.81,0.00,0.00,0.00,0.00,32.00,45.60,2843.00,0.00,791.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.20,1969.20
10:33:09,26.48,0.00,0.80,0.40,0.00,72.32,14.80,25.60,236.80,17.73,0.02,1.62,0.97,1.44,14.60,3.20,11.40,25.60,185.60,1,768,2.60,2.88,2.68,2,2184380,5859512,72.84,139832,2736140,5156056,64.10,3432216,2203108,85180,lo,165.60,165.60,4584.46,4584.46,0.00,0.00,0.00,0.00,12.80,92.00,1554.20,0.00,284.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,1713.40
10:33:14,35.78,0.00,0.70,0.00,0.00,63.52,2.40,6.40,94.40,42.00,0.01,2.33,2.33,0.56,3.20,0.80,2.40,6.40,140.80,5,763,2.39,2.83,2.66,1,2153208,5890684,73.23,139856,2736164,5158648,64.13,3463460,2203116,85176,lo,237.40,237.40,6196.71,6196.71,0.00,0.00,0.00,0.00,3.20,70.40,2093.20,0.00,375.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,1603.20
10:33:19,79.78,0.00,1.80,0.00,0.00,18.42,17.60,3.20,30740.80,1746.82,1.21,68.91,1.50,2.64,16.40,0.40,16.00,3.20,30672.00,2,765,2.28,2.80,2.65,3,2100008,5943884,73.89,139868,2736164,5182332,64.43,3517316,2202832,8608,lo,138.00,138.00,2985.96,2985.96,0.00,0.00,0.00,0.00,1.60,15359.20,3087.80,0.00,258.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,2595.60
