timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:01:25,41.94,0.00,5.21,1.80,0.00,51.05,88.80,1638.40,166.40,20.32,0.09,1.04,0.57,5.04,88.60,73.20,15.40,1636.80,166.40,3,668,5.32,4.03,2.60,0,1205764,6838128,85.01,12900,4306052,4777632,59.39,3506216,3126880,406372,lo,239.40,239.40,4665.28,4665.28,0.00,0.00,0.00,0.00,818.40,83.20,7666.20,4.00,55609.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,2318.60
20:01:30,52.98,0.00,8.98,7.06,0.00,30.98,204.40,12252.80,142.40,60.64,0.18,0.90,0.84,17.12,206.80,203.00,3.80,12312.00,142.40,3,645,4.89,3.97,2.59,0,3465476,4578416,56.92,13216,2447852,4070768,50.61,3029188,1383680,407396,lo,29.20,29.20,181.76,181.76,0.00,0.00,0.00,0.00,6132.00,71.20,16545.80,34.40,133550.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,3201.40
20:01:35,70.81,0.00,8.22,8.22,0.00,12.74,405.40,11128.00,227.20,28.01,0.35,0.87,0.64,25.84,403.60,402.80,0.80,11078.40,227.20,5,687,4.66,3.93,2.58,0,4626624,3417268,42.48,13544,1055068,4579356,56.93,3215936,75908,2348,lo,11.60,11.60,2.84,2.84,0.00,0.00,0.00,0.00,5560.00,113.60,15156.00,0.80,70521.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.60,2840.00
20:01:40,94.18,0.00,4.21,0.80,0.00,0.80,95.00,2070.40,78.40,22.62,0.07,0.72,0.56,5.28,97.80,97.20,0.60,2121.60,78.40,0,703,4.61,3.93,2.59,1,4366092,3677800,45.72,13552,1060428,4972876,61.82,3476496,74888,2388,lo,22.40,22.40,2.74,2.74,0.00,0.00,0.00,0.00,1048.00,39.20,13288.80,0.20,328.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,3188.60
20:01:45,69.19,0.00,7.78,7.78,0.00,15.25,247.20,39465.60,30721.60,283.93,6.80,27.50,1.28,31.68,244.60,224.40,20.20,39814.40,30721.60,3,713,4.48,3.92,2.59,0,3884892,4159000,51.70,13576,1313912,5183680,64.44,3786528,245484,80584,lo,675.40,675.40,18452.08,18452.08,0.00,0.00,0.00,0.00,19820.80,15360.80,12527.00,0.00,3891.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.20,4291.60
20:01:50,90.17,0.00,9.03,0.10,0.00,0.70,220.00,106457.60,240.00,484.99,0.68,2.48,2.15,47.36,227.20,222.20,5.00,107270.40,240.00,3,717,4.36,3.90,2.60,1,3471620,4572272,56.84,13748,1695752,5209980,64.77,3817688,626764,196120,lo,1647.20,1647.20,54255.67,54255.67,0.00,0.00,0.00,0.00,53302.40,120.00,2631.60,0.00,6442.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,2902.40
20:01:55,85.33,0.00,13.77,0.10,0.00,0.80,446.80,204161.60,513.60,458.09,1.42,3.48,1.60,71.28,441.20,415.80,25.40,204168.00,513.60,3,716,4.17,3.87,2.59,0,2728632,5315260,66.08,13968,2428236,5204216,64.70,3849436,1334768,416940,lo,3167.00,3167.00,103462.73,103462.73,0.00,0.00,0.00,0.00,102263.20,256.80,1027.60,0.00,6420.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.20,3253.40
20:02:00,81.57,0.00,16.31,1.31,0.00,0.81,439.00,194902.40,51419.20,561.10,7.47,16.69,1.63,71.76,443.20,403.80,39.40,194800.00,58094.40,4,717,4.08,3.86,2.59,2,2008436,6035456,75.03,14296,3128996,5212336,64.80,3858332,2040368,477600,lo,3081.80,3081.80,100786.33,100786.33,0.00,0.00,0.00,0.00,97307.78,32403.19,1898.00,0.00,12325.35,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.19,2702.59
20:02:05,62.20,0.00,13.21,22.15,0.00,2.44,432.60,141790.40,120777.60,606.95,36.10,83.78,1.78,77.12,433.40,347.00,86.40,141529.60,114102.40,3,716,3.91,3.83,2.59,1,1487156,6556736,81.51,14392,3642848,5213580,64.81,3844652,2571712,361332,lo,2439.40,2439.40,76276.20,76276.20,0.00,0.00,0.00,0.00,70808.80,53630.40,1494.60,0.00,12561.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3372.40
20:02:10,75.53,0.00,14.46,7.48,0.00,2.53,1061.00,64547.20,46172.80,104.35,14.86,14.00,0.53,56.08,1059.00,1024.00,35.00,63724.80,46172.80,2,717,3.84,3.81,2.59,1,1102344,6941548,86.30,14444,4020432,5217420,64.86,3869744,2925776,462620,lo,3050.40,3050.40,101722.52,101722.52,0.00,0.00,0.00,0.00,31964.00,23086.40,931.00,0.00,6363.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3139.20
